Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
0			1622	312.3265	3317	312.3271	1261	312.3264		
1			1622	312.3265	3317	312.3271	1217	312.3258		
2			1622	312.3265	3317	312.3271	1370	312.3267		
3			1535	312.3265	3317	312.3271	1261	312.3264		
4			1535	312.3265	3317	312.3271	1217	312.3258		
5			1535	312.3265	3317	312.3271	1370	312.3267		
6			938	487.3316	1879	487.3324				
7			1389	619.4263	2678	619.4273	1146	619.4256		
8			467	720.3637	897	720.3645	626	720.3730		
9			720	720.3666	897	720.3645	626	720.3730		
10			969	267.1230	1944	267.1233	843	267.1227		
11			969	267.1230	1867	267.1236	843	267.1227		
12			969	267.1230	1944	267.1233	800	267.1232		
13			969	267.1230	1867	267.1236	800	267.1232		
14			268	588.2869	674	588.2880	238	588.2867		
15			778	575.3606			680	575.3588		
16			1352	315.2528	2566	315.2534	1125	315.2536		
17			1275	439.3825	2439	439.3825	1071	439.3832		
18			302	413.2222	646	413.2231	347	413.2210		
19					1852	327.0093			439	327.0042
20			917	327.0096	1852	327.0093				
21			1340	848.6316	2542	848.6316	1119	848.6305		
22			1593	592.5178	3233	592.5157	1338	592.5155		
23			1162	337.3147	2310	337.3150	970	337.3149		
24			1226	337.3145	2310	337.3150	970	337.3149		
25			1162	337.3147	2375	337.3155	970	337.3149		
26			1226	337.3145	2375	337.3155	970	337.3149		
27			944	434.2452	1895	434.2450	817	434.2431		
28			211	334.2130	575	334.2136	167	334.2128		
29			70	233.1268	315	233.1275	83	233.1275		
30			372	416.2882			349	416.2862		
31			539	836.4133	1009	836.4166	503	836.4150		
32			1661	672.5404	3421	672.5432	1392	672.5417		
33			1188	404.2372	2338	404.2364	989	404.2367		
34			1637	996.7757	3359	996.7749	1381	996.7698		
35							926	388.2112	399	388.2022
36			1649	978.7580	3390	978.7638				
37					725	303.1577			188	303.1613
38			376	500.8166	800	500.8139	301	500.8154		
39					16	171.1502	11	171.1490		
40					3208	797.5800	1362	797.5820	982	797.5823
41			1074	598.4007	2143	598.4015	914	598.4008		
42			1074	598.4007	2183	598.4024	914	598.4008		
43			1086	598.4026	2143	598.4015	914	598.4008		
44			1086	598.4026	2183	598.4024	914	598.4008		
45	3	71.9515	1	71.9514	17	71.9515	16	71.9516	5	71.9516
46			1447	416.3716	2833	416.3743	1239	416.3734		
47			1447	416.3716	3054	416.3739	1239	416.3734		
48			1518	416.3732	2833	416.3743	1239	416.3734		
49			1518	416.3732	3054	416.3739	1239	416.3734		
50			1288	333.3004	2450	333.3001	1074	333.3002		
51			1511	489.3985	3028	489.3988	1220	489.3981		
52			1511	489.3985	3028	489.3988	1242	489.3986		
53			333	558.3627			233	558.3551		
54			471	819.4039			452	819.3940		
55			1406	533.2536	2738	533.2556				
56			384	556.8537	806	556.8534	362	556.8502		
57							1222	521.2984	871	521.2985
58			743	820.4181	1425	820.4167	654	820.4192		
59			1664	665.4604	3454	665.4621	1396	665.4606	1009	665.4608
60	14	157.0171	7	157.0172	15	157.0173				
61			237	655.4194	619	655.4201	260	655.4193		
62			1683	909.5397	3472	909.5362				
63			1056	572.4375	2121	572.4381	905	572.4381		
64			1355	673.5305	2572	673.5304	1132	673.5305		
65			1742	763.2209	3593	763.2199	1448	763.2186		
66			269	589.2910	675	589.2906	239	589.2906		
67			668	365.1716			422	365.1707	83	365.1695
68			1492	339.3454	2969	339.3450	1224	339.3452		
69			102	308.1962	496	308.2050				
70			1315	674.4640	2494	674.4626	1099	674.4628		
71			1067	396.3319	2134	396.3331	910	396.3324		
72	125	338.3429	1491	338.3412	2968	338.3418	1223	338.3416	870	338.3417
73			172	475.2598	517	475.2617	127	475.2601		
74			1708	687.2034	3520	687.2030	1427	687.2015		
75	139	574.3458	1513	574.3462	2982	574.3447	1237	574.3447	874	574.3461
76			1343	321.3200	2556	321.3202				
77			224	546.3550	440	546.3482	183	546.3562		
78			1598	533.4112	3255	533.4109	1341	533.4110		
79			87	420.1357	290	420.1340	107	420.1340		
