Group	File_0_Feature	File_0_m/z	File_1_Feature	File_1_m/z	File_2_Feature	File_2_m/z	File_3_Feature	File_3_m/z	File_4_Feature	File_4_m/z
0			1283	399.3093	2436	399.3091	1080	399.3086		
1			74	344.2291	277	344.2285	74	344.2287	68	344.2283
2			1290	351.3301	2452	351.3299	1076	351.3295		
3			1757	836.2390	3637	836.2388	1456	836.2384		
4			676	952.4997	1316	952.4968	624	952.4933		
5			1354	672.5258	2571	672.5272	1131	672.5265		
6	4	355.0698	11	355.0719			12	355.0697	7	355.0704
7			688	847.4290	1285	847.4291	622	847.4300		
8			1214	514.4225	2357	514.4223	1007	514.4212		
9			245	766.4891	715	766.4845	273	766.4884		
10			759	726.3673	1471	726.3667	662	726.3649		
11			1600	564.4299	3245	564.4290	1344	564.4289	959	564.4282
12	25	219.0174	29	219.0178			35	219.0181	34	219.0177
13			1077	163.0756	2157	163.0759	917	163.0754	427	163.0755
14			366	954.4412	833	954.4430	339	954.4352		
15			1188	404.2372	2338	404.2364	989	404.2367		
16			951	499.2810	1905	499.2816	832	499.2812		
17			1292	391.3535	2445	391.3542	1064	391.3527		
18			1370	541.4511	2513	541.4515	1136	541.4511		
19			543	880.4425	1014	880.4414	510	880.4390		
20			743	820.4181	1425	820.4167	654	820.4192		
21	3	71.9515	1	71.9514	17	71.9515	16	71.9516	5	71.9516
22	50	744.5632	1345	744.5626	2538	744.5611	1111	744.5633	776	744.5613
23			1255	336.3256	2404	336.3261	1040	336.3252		
24			626	665.2987	1159	665.3026	586	665.3013		
25			873	347.2502	1790	347.2528	772	347.2521		
26	214	924.2711	1633	924.2704	3355	924.2718	1378	924.2720		
27			196	433.2817	510	433.2830	152	433.2820	76	433.2844
28	121	704.2156	1480	704.2136	2934	704.2151	1213	704.2143		
29			1737	758.2205	3588	758.2219	1443	758.2204	1016	758.2238
30			1630	596.4878	3350	596.4899	1375	596.4887		
31			1275	439.3825	2439	439.3825	1071	439.3832		
32			63	300.2018	157	300.2018	65	300.2016	66	300.2024
33			785	190.1233	1554	190.1223	683	190.1224		
34			737	864.4431	1446	864.4474	663	864.4440		
35			716	674.3601	1349	674.3637	631	674.3591		
36	27	256.9645	34	256.9646	29	256.9626	41	256.9643	35	256.9647
37			456	600.2902	994	600.2816	539	600.2876		
38			1271	484.4123	2431	484.4146	1054	484.4102		
39			1039	448.2960	2109	448.2977	896	448.2968		
40			710	760.3951	1255	760.4013	613	760.4020		
41			713	205.1336	1319	205.1331	628	205.1335		
42	78	651.5683	1398	651.5692			1148	651.5670		
43			1423	349.3318			1177	349.3318	812	349.3319
44			1579	314.2838	3192	314.2844	1317	314.2853		
45			1452	167.0339	2872	167.0351			852	167.0349
46	37	389.1127	1087	389.1131	2188	389.1132				
47	224	610.1853	1657	610.1848	3417	610.1850			1004	610.1845
48			573	793.3903	1071	793.3915	526	793.3906		
49			504	636.4171	929	636.4177	468	636.4170		
50			875	288.1957	1786	288.1962	769	288.1959		
51			1005	374.1966	2017	374.1969	875	374.1965		
52			749	631.3259	1401	631.3219	661	631.3257		
53			1465	449.3381	2890	449.3383	1187	449.3374	839	449.3373
54	87	629.1978	1418	629.1955	2771	629.1968	1167	629.1981	806	629.1972
55			1112	317.1159	2217	317.1152	940	317.1151	634	317.1166
56			936	303.2266	1875	303.2248	810	303.2251		
57			1297	307.3051	2449	307.3048	1084	307.3048		
58			160	223.1443	463	223.1451	144	223.1442	160	223.1447
59			23	86.0601	43	86.0599	30	86.0600		
60			659	851.4319	1193	851.4355	587	851.4339		
61			1191	688.5195	2343	688.5215	997	688.5226	748	688.5226
62			156	476.3077	518	476.3075	140	476.3077	86	476.3069
63			896	311.1645	1805	311.1648	778	311.1643		
64	39	480.1587	1264	480.1567	2406	480.1580				
65			277	631.3084	685	631.2996	253	631.3057		
66			1745	342.3730	3606	342.3739	1449	342.3726		
67			335	573.3762	344	573.3697	309	573.3755		
68			1205	557.4455	2359	557.4459	1004	557.4453		
69	116	779.6612	1490	779.6599					965	779.6618
70	126	716.5662	1496	716.5672	2974	716.5680	1229	716.5675	875	716.5672
71			674	849.4185	1287	849.4142	597	849.4178		
72			465	695.3117	851	695.3134	409	695.3107		
73			1707	686.2025	3519	686.2027	1425	686.2029		
74			441	779.3782	861	779.3755	414	779.3749		
75			1100	338.2144	2235	338.2152	943	338.2157	638	338.2168
76			718	171.1498	1343	171.1496	641	171.1488		
77	205	794.7267	1619	794.7226	3326	794.7265	1387	794.7251	992	794.7246
78	140	742.5829	1514	742.5820			1244	742.5821	885	742.5833
79			807	187.1263	1629	187.1264	700	187.1258		
80			1754	833.2402	3634	833.2400	1458	833.2398		
81			668	365.1716			422	365.1707	83	365.1695
82			1664	665.4604	3454	665.4621	1396	665.4606	1009	665.4608
83	120	703.2160	1479	703.2173	2933	703.2170	1212	703.2134		
84			539	836.4133	1009	836.4166	503	836.4150		
85			974	406.2136	1949	406.2139	848	406.2140		
86			1254	460.3331	2400	460.3345	1035	460.3334		
87			1468	798.5879	2895	798.5873	1202	798.5853	844	798.5878
88	14	157.0171	7	157.0172	15	157.0173				
89			1616	659.5281	3301	659.5283	1383	659.5322		
90	170	732.5902	1555	732.5889	3125	732.5917	1280	732.5892	911	732.5926
91			1677	681.4829	3440	681.4839	1404	681.4830	1011	681.4841
92			998	476.9784	2008	476.9779	861	476.9778	342	476.9733
93			632	894.4542	1169	894.4572	576	894.4542		
94			342	614.4004	1096	614.4119	248	614.4049		
95			829	467.3093	840	467.3045	716	467.3098		
96	196	554.5159	1611	554.5156	3257	554.5162	1349	554.5135	964	554.5139
97			652	366.1729			423	366.1753	84	366.1728
98			1181	374.2484	2330	374.2491	973	374.2491		
99			848	279.0940	1733	279.0942	733	279.0931		
100			1300	355.2803	2453	355.2821	1077	355.2818		
101	19	221.1524	19	221.1537	3	221.1539			15	221.1530
102			253	392.2656	643	392.2653	172	392.2662		
103			1092	280.1624	2226	280.1628	939	280.1623	632	280.1624
104			816	500.3795	1665	500.3796	709	500.3802		
105			943	433.2424	1894	433.2422	816	433.2416		
106	125	338.3429	1491	338.3412	2968	338.3418	1223	338.3416	870	338.3417
107			64	301.2059	158	301.2062	66	301.2046		
108			1392	444.3805			1150	444.3786	794	444.3800
109			1603	589.4636	3249	589.4591	1346	589.4609		
110			534	680.4409	973	680.4434	499	680.4444		
111			734	369.2181	245	369.2170	653	369.2188		
112			1666	682.4877	3456	682.4877	1405	682.4876		
